"colony","group","day_removed","day_dissected","id","trophont","gamont","gut_gametocyst","par_presence","experimental_repeat"
"B","control",5,7,"B9","0","0","0","0",2
"B","control",5,7,"B10","0","0","0","0",2
"B","control",5,7,"B11","0","0","0","0",2
"B","control",5,7,"B12","0","0","0","0",2
"A","experimental",6,8,"E1","0","0","0","0",2
"A","experimental",6,8,"E2","0","0","0","0",2
"A","experimental",6,8,"E3","0","0","0","0",2
"A","experimental",6,8,"E4","0","0","0","0",2
"A","experimental",6,8,"E5","4","0","0","1",2
"A","experimental",6,8,"E6","0","0","0","0",2
"A","experimental",6,8,"E7","0","0","0","0",2
"A","experimental",6,8,"E8","0","0","0","0",2
"A","experimental",6,8,"E9","0","0","0","0",2
"A","experimental",6,8,"E10","1","1","0","1",2
"A","experimental",6,8,"E11","1","0","0","1",2
"A","experimental",6,8,"E12","0","0","0","0",2
"A","experimental",6,8,"F1","5","0","0","1",2
"A","experimental",6,8,"F2","0","0","0","0",2
"A","experimental",6,8,"F3","0","0","0","0",2
"A","experimental",6,8,"F4","0","0","0","0",2
"A","experimental",6,8,"F5","0","0","0","0",2
"A","experimental",6,8,"F6","0","0","0","0",2
"A","experimental",6,8,"F7","4","2","0","1",2
"A","experimental",6,8,"F8","0","0","0","0",2
"A","experimental",6,8,"F9","0","0","0","0",2
"A","experimental",6,8,"F10","0","0","0","0",2
"A","experimental",6,8,"F11","0","0","0","0",2
"A","experimental",6,8,"F12","0","0","0","0",2
"A","control",6,8,"C1","0","0","0","0",2
"A","control",6,8,"C2","0","0","0","0",2
"A","control",6,8,"C3","0","0","0","0",2
"A","control",6,8,"C4","0","0","0","0",2
"A","control",6,8,"C5","0","0","0","0",2
"A","control",6,8,"C6","0","0","0","0",2
"A","control",6,8,"C7","0","0","0","0",2
"A","control",6,8,"C8","0","0","0","0",2
"A","control",6,8,"C9","0","0","0","0",2
"A","control",6,8,"C10","0","0","0","0",2
"A","control",6,8,"C11","0","0","0","0",2
"A","control",6,8,"C12","0","0","0","0",2
"B","experimental",6,8,"E1","0","0","0","0",2
"B","experimental",6,8,"E2","12","1","0","1",2
"B","experimental",6,8,"E3","0","0","0","0",2
"B","experimental",6,8,"E4","0","0","0","0",2
"B","experimental",6,8,"E5","149","4","0","1",2
"B","experimental",6,8,"E6","0","0","0","0",2
"B","experimental",6,8,"E7","0","0","0","0",2
"B","experimental",6,8,"E8","0","0","0","0",2
"B","experimental",6,8,"E9","0","0","0","0",2
"B","experimental",6,8,"E10","0","0","0","0",2
"B","experimental",6,8,"E11","2","0","0","1",2
"B","experimental",6,8,"E12","0","0","0","0",2
"B","experimental",6,8,"F1","0","0","0","0",2
"B","experimental",6,8,"F2","181","7","0","1",2
"B","experimental",6,8,"F3","0","0","0","0",2
"B","experimental",6,8,"F4","10","0","0","1",2
"B","experimental",6,8,"F5","1","0","0","1",2
"B","experimental",6,8,"F6","0","0","0","0",2
"B","experimental",6,8,"F7","0","0","0","0",2
"B","experimental",6,8,"F8","0","0","0","0",2
"B","experimental",6,8,"F9","0","0","0","0",2
"B","experimental",6,8,"F10","0","0","0","0",2
"B","experimental",6,8,"F11","0","0","0","0",2
"B","experimental",6,8,"F12","0","0","0","0",2
"B","control",6,8,"C1","0","0","0","0",2
"B","control",6,8,"C2","0","0","0","0",2
"B","control",6,8,"C3","0","0","0","0",2
"B","control",6,8,"C4","0","0","0","0",2
"B","control",6,8,"C5","0","0","0","0",2
"B","control",6,8,"C6","0","0","0","0",2
"B","control",6,8,"C7","0","0","0","0",2
"B","control",6,8,"C8","0","0","0","0",2
"B","control",6,8,"C9","0","0","0","0",2
"B","control",6,8,"C10","0","0","0","0",2
"B","control",6,8,"C11","0","0","0","0",2
"B","control",6,8,"C12","0","0","0","0",2
"A","experimental",7,9,"G1","0","0","0","0",2
"A","experimental",7,9,"G2","0","0","0","0",2
"A","experimental",7,9,"G3","31","0","0","1",2
"A","experimental",7,9,"G4","13","1","0","1",2
"A","experimental",7,9,"G5","2","2","0","1",2
"A","experimental",7,9,"G6","0","0","0","0",2
"A","experimental",7,9,"G7","3","0","0","1",2
"A","experimental",7,9,"G8","0","0","0","0",2
"A","experimental",7,9,"G9","0","0","0","0",2
"A","experimental",7,9,"G10","0","0","0","0",2
"A","experimental",7,9,"G11","20","2","0","1",2
"A","experimental",7,9,"G12","2","0","0","1",2
"A","experimental",7,9,"H1","0","0","0","0",2
"A","experimental",7,9,"H2","1","0","0","1",2
"A","experimental",7,9,"H3","0","0","0","0",2
"A","experimental",7,9,"H4","2","0","0","1",2
"A","experimental",7,9,"H5","0","0","0","0",2
"A","experimental",7,9,"H6","1","0","0","1",2
"A","experimental",7,9,"H7","0","0","0","0",2
"A","experimental",7,9,"H8","0","0","0","0",2
"A","experimental",7,9,"H9","0","0","0","0",2
"A","experimental",7,9,"H10","2","0","0","1",2
"A","experimental",7,9,"H11","0","0","0","0",2
"A","experimental",7,9,"H12","0","0","0","0",2
"A","control",7,9,"D1","0","0","0","0",2
"A","control",7,9,"D2","0","0","0","0",2
"A","control",7,9,"D3","0","0","0","0",2
"A","control",7,9,"D4","0","0","0","0",2
"A","control",7,9,"D5","0","0","0","0",2
"A","control",7,9,"D6","0","0","0","0",2
"A","control",7,9,"D7","0","0","0","0",2
"B","experimental",7,9,"G1","408","0","0","1",2
"B","experimental",7,9,"G2","0","0","0","0",2
"B","experimental",7,9,"G3","0","0","0","0",2
"B","experimental",7,9,"G4","0","0","0","0",2
