treatment,replicate_no,dissection_no,id,trophont,gamont,gut_gametocyst,par_presence
B,4,3,H9,33,0,0,1
B,4,3,H10,0,0,0,0
A,5,3,A1,0,0,0,0
A,5,3,A2,5,0,0,1
A,5,3,A3,45,3,0,1
A,5,3,A4,0,0,0,0
A,5,3,A5,77,0,0,1
A,5,3,A6,33,0,0,1
A,5,3,A7,0,0,0,0
A,5,3,A8,1,0,0,1
A,5,3,A9,0,0,0,0
A,5,3,A10,45,0,0,1
E,1,3,B1,12,0,0,1
E,1,3,B2,0,0,0,0
E,1,3,B3,128,0,0,1
E,1,3,B4,40,0,0,1
E,1,3,B5,37,0,0,1
E,1,3,B6,50,0,0,1
E,1,3,B7,41,0,0,1
E,1,3,B8,100,0,0,1
E,1,3,B9,49,0,0,1
E,1,3,B10,0,0,0,0
A,3,3,C1,0,0,0,0
A,3,3,C2,0,0,0,0
A,3,3,C3,63,0,0,1
A,3,3,C4,0,0,0,0
A,3,3,C5,0,0,0,0
A,3,3,C6,2,0,0,1
A,3,3,C7,0,0,0,0
A,3,3,C8,0,0,0,0
A,3,3,C9,56,0,0,1
A,3,3,C10,0,0,0,0
C,1,3,D1,75,0,0,1
C,1,3,D2,0,0,0,0
C,1,3,D3,2,0,0,1
C,1,3,D4,21,0,0,1
C,1,3,D5,146,0,0,1
C,1,3,D6,22,0,0,1
C,1,3,D7,9,0,0,1
C,1,3,D8,7,0,0,1
C,1,3,D9,2,0,0,1
C,1,3,D10,12,0,0,1
E,2,3,E1,64,0,0,1
E,2,3,E2,58,0,0,1
E,2,3,E3,170,0,0,1
E,2,3,E4,4,0,0,1
E,2,3,E5,13,0,0,1
E,2,3,E6,0,0,0,0
E,2,3,E7,79,0,0,1
E,2,3,E8,65,0,0,1
E,2,3,E9,41,0,0,1
E,2,3,E10,73,0,0,1
B,5,3,F1,55,0,0,1
B,5,3,F2,0,0,0,0
B,5,3,F3,47,0,0,1
B,5,3,F4,0,0,0,0
B,5,3,F5,pupated,pupated,pupated,pupated
B,5,3,F6,14,0,0,1
B,5,3,F7,22,0,0,1
B,5,3,F8,0,0,0,0
B,5,3,F9,116,0,0,1
